date,mask_wearing_final
2022-03-18,77.1468804
2022-03-19,74.0794357
2022-03-20,70.295926
2022-03-21,67.8022356
2022-03-22,64.8879025
2022-03-23,62.6941379
2022-03-24,59.7662075
2022-03-25,58.0617889
2022-03-26,55.068468
2022-03-27,55.0213983
2022-03-28,53.8745005
2022-03-29,54.0352279
2022-03-30,53.763457
2022-03-31,55.1223089
2022-04-01,56.5713994
2022-04-02,58.3046556
2022-04-03,56.9728349
2022-04-04,54.2020659
2022-04-05,55.4193642
2022-04-06,53.9610277
2022-04-07,51.6977937
2022-04-08,50.5280433
2022-04-09,50.1215287
2022-04-10,50.6069964
2022-04-11,52.5251769
2022-04-12,50.7844443
2022-04-13,52.1884737
2022-04-14,50.1180082
2022-04-15,51.5013668
2022-04-16,50.72624
2022-04-17,51.926501
2022-04-18,51.4494815
2022-04-19,51.2570349
2022-04-20,51.1862423
2022-04-21,54.5547596
2022-04-22,53.1907172
2022-04-23,53.2035847
2022-04-24,51.9121041
2022-04-25,53.2062435
2022-04-26,53.5320086
2022-04-27,52.9049261
2022-04-28,52.4120211
2022-04-29,52.2771946
2022-04-30,51.0838261
2022-05-01,49.8202655
2022-05-02,47.3266048
2022-05-03,46.0026829
2022-05-04,46.831018
2022-05-05,47.6926638
2022-05-06,46.6417074
2022-05-07,46.6292961
2022-05-08,48.159266
2022-05-09,49.8256428
2022-05-10,48.7552366
2022-05-11,46.5274038
2022-05-12,47.117435
2022-05-13,47.8370875
2022-05-14,47.6524833
2022-05-15,45.9704984
2022-05-16,46.1693804
2022-05-17,47.4953635
2022-05-18,48.8083752
2022-05-19,48.213768
2022-05-20,47.6054642
2022-05-21,46.3413755
2022-05-22,47.1040674
2022-05-23,48.7543053
2022-05-24,48.8092696
2022-05-25,48.0412568
2022-05-26,48.124021
2022-05-27,49.5590973
2022-05-28,50.6196754
2022-05-29,51.6838624
2022-05-30,48.3128042
2022-05-31,48.320098
2022-06-01,49.2199961
2022-06-02,47.0277139
2022-06-03,45.8075886
2022-06-04,45.2973207
2022-06-05,44.7179481
2022-06-06,45.1726018
2022-06-07,44.036357
2022-06-08,44.2695589
2022-06-09,45.4515894
2022-06-10,44.7442382
2022-06-11,46.0781083
2022-06-12,45.8411096
2022-06-13,47.5123535
2022-06-14,48.3526559
2022-06-15,46.8867543
2022-06-16,47.5321572
2022-06-17,49.199746
2022-06-18,48.8152913
2022-06-19,48.8782401
2022-06-20,48.1227576
2022-06-21,48.3104712
2022-06-22,49.6433116
2022-06-23,49.712426
2022-06-24,49.717948
2022-06-25,46.5351138
