date,polygon_id,polygon_name,fb_movement,fb_stay_put
2021-01-04,53033,King,-26.731000000000005,26.334000000000003
2021-01-05,53033,King,-24.66,26.314999999999998
2021-01-06,53033,King,-24.238,24.637000000000004
2021-01-07,53033,King,-26.5,24.779999999999998
2021-01-08,53033,King,-26.343,24.749
2021-01-09,53033,King,-20.497,26.371
2021-01-10,53033,King,-21.226,29.387
2021-01-11,53033,King,-28.703,27.388
2021-01-12,53033,King,-26.704,26.482
2021-01-13,53033,King,-20.263,22.226000000000003
2021-01-14,53033,King,-24.122,23.021000000000004
2021-01-15,53033,King,-23.079,22.049
2021-01-16,53033,King,-16.544,24.772
2021-01-17,53033,King,-19.835,28.167
2021-01-18,53033,King,-22.881,24.403
2021-01-19,53033,King,-22.895,23.752000000000002
2021-01-20,53033,King,-24.873,24.067
2021-01-21,53033,King,-27.993000000000002,24.618000000000002
2021-01-22,53033,King,-23.262,21.6
2021-01-23,53033,King,-13.559000000000001,23.674999999999997
2021-01-24,53033,King,-25.109,30.860000000000003
2021-01-25,53033,King,-25.028,25.004000000000005
2021-01-26,53033,King,-23.304,24.892000000000003
2021-01-27,53033,King,-24.554000000000002,24.138
2021-01-28,53033,King,-26.671,24.302
2021-01-29,53033,King,-22.221,21.927
2021-01-30,53033,King,-16.865000000000002,24.364
2021-01-31,53033,King,-21.014,28.762999999999998
2021-02-01,53033,King,-24.637999999999998,24.893
2021-02-02,53033,King,-23.658,24.73
2021-02-03,53033,King,-19.905,22.351
2021-02-04,53033,King,-25.843000000000004,24.25
2021-02-05,53033,King,-21.764000000000003,21.25
2021-02-06,53033,King,-13.994000000000002,23.885
2021-02-07,53033,King,-19.067999999999998,26.664000000000005
2021-02-08,53033,King,-22.638000000000005,23.362
2021-02-09,53033,King,-21.407,23.000999999999998
2021-02-10,53033,King,-19.404,21.69
2021-02-11,53033,King,-24.63,23.511000000000003
2021-02-12,53033,King,-27.46,24.053
2021-02-13,53033,King,-50.473,42.211
2021-02-14,53033,King,-49.392,45.058
2021-02-15,53033,King,-38.85400000000001,33.039
2021-02-16,53033,King,-23.523,24.478000000000005
2021-02-17,53033,King,-19.417,22.67
2021-02-18,53033,King,-23.086000000000002,23.959000000000007
2021-02-19,53033,King,-20.891000000000002,21.496000000000002
2021-02-20,53033,King,-11.822000000000001,22.236000000000004
2021-02-21,53033,King,-17.257,27.657000000000004
2021-02-22,53033,King,-25.902,24.767000000000003
