fips,date,completely_home_prop,median_home_dwell_time
53033,2019-10-06,0.266723250551334,646.8548014077426
53033,2019-10-07,0.2695695476268632,633.4061934446008
53033,2019-10-08,0.26760371100721414,636.5556561085973
53033,2019-10-09,0.2656251801880471,643.8697969032777
53033,2019-10-10,0.2693878780616265,643.2097536450477
53033,2019-10-11,0.27381163944943776,648.8539969834087
53033,2019-10-12,0.27451286557764293,662.7797666934835
53033,2019-10-13,0.27753788084506914,688.8572003218021
53033,2019-10-14,0.2770236031098669,708.9469026548672
53033,2019-10-15,0.2787527964616043,708.7511061946902
53033,2019-10-16,0.2812013988068283,711.2893201930813
53033,2019-10-17,0.28251634940872006,715.9084967320262
53033,2019-10-18,0.2836080445407977,715.9120160884867
53033,2019-10-19,0.2874909601631779,720.4765734968831
53033,2019-10-20,0.2907581133627595,725.0442344425455
53033,2019-10-21,0.2913796536194381,726.9583752262216
53033,2019-10-22,0.29110475911400124,731.4870789341378
53033,2019-10-23,0.29015748172708256,729.5890989541432
53033,2019-10-24,0.2862239672078687,729.9226669348351
53033,2019-10-25,0.28499329998151385,730.622447953334
53033,2019-10-26,0.2832742232631082,730.5937845720607
53033,2019-10-27,0.27925018790858686,729.74944679139
53033,2019-10-28,0.2760477708528824,730.2889760611547
53033,2019-10-29,0.2731078462898576,732.7268430051292
53033,2019-10-30,0.2703368719703677,736.9393543196219
53033,2019-10-31,0.26480050727034044,738.3696067585236
53033,2019-11-01,0.26079977896827933,742.5472646822204
53033,2019-11-02,0.2588412563177502,746.3019911504425
53033,2019-11-03,0.2586250605059941,742.3362155640458
53033,2019-11-04,0.25763911517538374,741.9899467176033
53033,2019-11-05,0.259218392586322,741.3552472858867
53033,2019-11-06,0.2604864964404165,742.1116582914573
53033,2019-11-07,0.26349647559340506,744.4466887749975
53033,2019-11-08,0.2632488290443264,744.7004321173752
53033,2019-11-09,0.26762503153914463,735.8020498392283
53033,2019-11-10,0.2679426805950418,731.3051647909967
53033,2019-11-11,0.2782691379792755,731.69788003617
53033,2019-11-12,0.2798857264459696,727.8965136139857
53033,2019-11-13,0.2808081176091597,721.2865467698182
53033,2019-11-14,0.28400228363169616,716.805485783181
53033,2019-11-15,0.2862566499019746,711.7878239903556
53033,2019-11-16,0.285067344068123,716.7229254571026
53033,2019-11-17,0.2875240648625699,726.0410890094435
53033,2019-11-18,0.2814690781179629,724.724131002612
53033,2019-11-19,0.28101647429939564,728.1989150090416
53033,2019-11-20,0.28038415842385706,732.5656017681334
53033,2019-11-21,0.2785243068259502,738.4932181251884
53033,2019-11-22,0.27708309744196474,744.4070129609163
53033,2019-11-23,0.2773418880185936,742.0385813322616
53033,2019-11-24,0.2765234428958685,737.4145483773736
53033,2019-11-25,0.2754128757659314,734.3619009343917
53033,2019-11-26,0.2749977116426155,731.1725108007636
53033,2019-11-27,0.27578866982237554,726.3843062393248
53033,2019-11-28,0.2898828557878475,732.1156319067711
53033,2019-11-29,0.2967173144135754,730.613784788506
53033,2019-11-30,0.29321060182098724,725.9397166683412
53033,2019-12-01,0.29512031377695314,726.0450160771704
53033,2019-12-02,0.29579632470393374,724.3263665594856
53033,2019-12-03,0.2970988748333024,723.2328175241157
53033,2019-12-04,0.3002679529756344,720.4419656315948
53033,2019-12-05,0.2892282767752733,706.1998794091046
53033,2019-12-06,0.28412104583436953,699.2770575821526
53033,2019-12-07,0.28766538753150034,704.9071356783919
53033,2019-12-08,0.28607649824294834,706.6082412060301
53033,2019-12-09,0.2860158104617198,709.5335209568801
53033,2019-12-10,0.28533082331627374,710.9898482259523
53033,2019-12-11,0.28343289027701496,714.3861306532664
53033,2019-12-12,0.2841430814516988,714.5854271356784
53033,2019-12-13,0.2850994439345761,714.0163802632901
53033,2019-12-14,0.2825684932502408,712.3491106421466
53033,2019-12-15,0.2819671635562942,709.0897307073955
53033,2019-12-16,0.2822723834325308,705.0569734726688
53033,2019-12-17,0.2819776238044347,702.0873191318328
53033,2019-12-18,0.2814720345146543,698.5274316720257
53033,2019-12-19,0.2806468002142089,697.0622990353697
53033,2019-12-20,0.281633370534266,699.0779821123505
53033,2019-12-21,0.28402359205744104,695.2362576625464
53033,2019-12-22,0.2801006612235744,684.4810050251257
53033,2019-12-23,0.2809293415288698,682.9678391959799
53033,2019-12-24,0.2833927231258257,688.8591818273193
53033,2019-12-25,0.3004062142394884,704.5489545637314
53033,2019-12-26,0.3054405569674937,712.8483965014577
53033,2019-12-27,0.30745048390959256,713.5812223562525
53033,2019-12-28,0.3069978509134836,706.2394210473415
53033,2019-12-29,0.3061299395200493,703.8710423158107
53033,2019-12-30,0.3043744855385725,705.7887224846718
53033,2019-12-31,0.300814458059133,700.5652261306533
53033,2020-01-01,0.29285705634818443,704.4894472361809
53033,2020-01-02,0.29082882914235325,703.6634837672128
53033,2020-01-03,0.288384362075517,708.559911540008
53033,2020-01-04,0.2868282640051663,724.320297577159
53033,2020-01-05,0.2921318527535183,745.1498944405348
53033,2020-01-06,0.29063811823312125,747.6380176919984
53033,2020-01-07,0.28798437873226657,750.7944310414154
53033,2020-01-08,0.27382076574791697,735.4902000201025
53033,2020-01-09,0.265990395670408,731.6009045226131
53033,2020-01-10,0.2605148321808291,726.3475027635413
53033,2020-01-11,0.259803987870416,726.0358757913777
53033,2020-01-12,0.2554044113775896,724.8587218649518
53033,2020-01-13,0.26413797567699177,741.883038585209
53033,2020-01-14,0.27982071345716786,765.2330419053361
53033,2020-01-15,0.2866491439723099,782.8950753768844
53033,2020-01-16,0.2842652365122916,786.4123618090453
53033,2020-01-17,0.28188660054002307,786.2913860689516
53033,2020-01-18,0.2775865515922841,785.2371330920788
53033,2020-01-19,0.2722189497125344,780.1293857444456
53033,2020-01-20,0.26520771424919615,775.7964210314668
53033,2020-01-21,0.24487420381431,751.6919983916365
53033,2020-01-22,0.23452598132621091,732.6164053075995
53033,2020-01-23,0.2345391025312125,728.997587697256
53033,2020-01-24,0.2340752150999404,730.7571615237713
53033,2020-01-25,0.2320607538941136,730.5531658291458
53033,2020-01-26,0.23342137524834533,733.2068133855894
53033,2020-01-27,0.22760704987047792,724.7429404079992
53033,2020-01-28,0.22717461583375567,726.8591959798995
53033,2020-01-29,0.2272037750259748,729.9709547738694
53033,2020-01-30,0.2246985822139793,730.7664086842899
53033,2020-01-31,0.22286406932271036,730.7680402010051
53033,2020-02-01,0.22860395864571573,729.461159682444
53033,2020-02-02,0.23430236861570045,724.6495829564868
53033,2020-02-03,0.23890675928527444,713.0909547738694
53033,2020-02-04,0.2447527478568129,709.6782914572864
53033,2020-02-05,0.25010416538732294,708.595879396985
